date,GLD,QQQ,SPY,TLT
2015-04-16,115.02999877929688,99.38613891601562,175.47157287597656,96.9422607421875
2015-04-17,115.5999984741211,97.835693359375,173.4530487060547,98.05372619628906
2015-04-20,114.72000122070312,99.30310821533203,175.03787231445312,97.18846130371094
2015-04-21,115.37999725341797,99.72761535644531,174.82933044433594,96.74833679199219
2015-04-22,113.83000183105469,100.2721176147461,175.68849182128906,95.2713851928711
2015-04-23,114.66000366210938,100.6505126953125,176.1305389404297,95.68165588378906
2015-04-24,113.05000305175781,102.01641082763672,176.5392303466797,96.27836608886719
2015-04-27,115.33000183105469,101.75794982910156,175.80519104003906,96.27836608886719
2015-04-28,116.33000183105469,101.55498504638672,176.3640899658203,94.95063781738281
2015-04-29,115.51000213623047,100.91817474365234,175.63839721679688,93.78695678710938
2015-04-30,113.47000122070312,99.33077239990234,173.87844848632812,93.95108032226562
